code,name,eshop_url
MZA,Materiál zákazníka,
NA1,Nátrubky Hostalen a další,
NA3,PPR,
NAB,Nátrubek bronz,
NAC,Cu a bronz tvarovky,
NAM,Prodloužení mosaz,
NAP,Nátrubek pozink,
NAV,Nátrubek várný,
ND1,Náhradní díly,
NE1,Nerez,
NE2,Nerez plech,
NE3,Nerez T-kus,
NED,Nerez dno,
NEK,Nerezové materiály - Kolena,
NEN,Nerez mufna,
NEO,Nerez objímka,
NEP,Nerezové materiály - Příruby,
NER,Nerez tvarovky,
NES,Nerez šroubení,
NET,Nerez trubka,
NEV,Nerez ventily,
NEZ,Nerez zátka,
OBD,Objímky,
OBM,Objímky,
OBZ,Objímka záv.s gumou,
OD1,Odvaděč kondenzátu KOMO,
OD2,Odvaděč kondenzátu,
OD3,Odvaděč kondenzátu KOMO,
OD4,Odvaděč kondenzátu KOMO,
ODK,Kompenzátor přírubový,
PK1,Čistící chemie,
PM2,"Hutní materiál profil, tyč ...",
PM4,Plechy,
PM5,Ocel - různé,
PM6,"Varné redukce, dna.",
PM7,Úchytky,
PM8,Různé,
PMD,Dráty,
PME,Elektromateriál,
PMH,Hmoždinky,
PMK,Kotouče řezací a brusné,
PMM,Matice,
PMN,Nosníky,
PMO,"Agregáty, regulátory, různé",
PMP,Podkložky,
PMS,"Šrouby, vruty",
PO1,"Potrubí HT, HTEM",
PO2,Potrubí KGEM,
PO3,"Potrubí PE, PPR, PU..atd.",
POC,Potrubí CU,
PON,Potrubí CATS,
POP,Potrubí pozinkované,
POV,Potrubí ocelové,
POZ,Pozink tvarovky,
PP1,Různé plyny,
PR0,Příruby,
PR1,Příruby,
PR4,Příruby,
PRI,Příruby,
PRP,Příruby,
PRZ,Příruby,
R00,Poptávka,
R01,Elektrické stroje 1,
R02,Elektrické stroje 2,
R03,Spotřební materiál 1,
R04,Spotřební materiál 2,
R05,Spotřební materiál 3,
R06,Náhradní díly,
RA1,Radiátory a příslušenství,
RA2,Radiátory,
RAH,Hlavice,
RAP,Radiátorové příslušenství,
RAR,Radiátorové příslušenství,
RAT,Rozdělovače RS,
RE1,Redukce HTR,
RE2,Redukce KGR,
RE3,Redukce PPR,
REB,Redukce bronz,
REC,Redukce Cu,
REF,REFLEX,
REM,Redukce mosaz,
REV,Redukce varná,
RP1,Přechod různé,
RP3,Přechodka PPR,
RPB,Přechodka bronz,
RPC,"Přechodka, redukce různé",
RPM,Přechodka nerez,
RPP,Přechodka pozink,
RPV,Přechodky ocelové,
RUA,obecné,
RUF,Flama GAZ - Ventily plyn,
RUS,výměníky swep,
RVB,Vsuvky bronzové,
RVC,Vsuvka CU,
RVM,Vsuvka mosaz,
RVN,Vsuvka CATS,
RVP,Vsuvka pozink,
RVV,Vsuvka černá,
SA1,Sanita,
SA3,WC příslušenství,
SA4,Sifonové přislušenství,
SA5,Sanita různé,
SBM,ESBE,
SBP,ESBE,
SIE,SIEMENS,
SP1,"Tvarovky HTEA, HTU, ..atd.",
SP2,Tvarovky KGEA a KGU,
SP3,"Spojky PPR, PP, PVC atd.",
SPC,Spojka CU,
SPM,Spojka mosaz,
SPX,Spojky svěrné a různé,
SPZ,Spojky zahradní,
SR1,Šroubení k čerpadlům,
SR2,Šroubení k vodoměrům,
SRM,Šroubení mosazné,
SRP,Šroubení pozink,
SRR,Řoubení rúzné,
SRV,Šroubení várné,
STE,Steamex,
STS,STASTO,
TE1,Teploměry,
TE2,Termomanometry,
TE3,Termostaty,
TEJ,Teplotní jímka,
TK2,Tvarovky KGRE a HTRE,
TK3,T-kus a různé,
TKB,T-kus bronz,
TKC,T-kus-CU,
TKM,T-kus mosaz,
TKP,T-kus pozink,
TKV,T-kus várný,
TL1,Odkouření,
TL2,Odkouření,
TL3,Odkouření,
TL4,Odkouření,
TL5,Odkouření,
TL6,Regulace regulus,
TL9,Odkouření,
TLB,Kotle,
TLO,Ohřívače,
TLP,Kotle,
TLT,Kotle,
TLW,Kotle Wolf,
TS1,Těsnění,
TS2,Těsnění,
TS3,Konopí,
TS4,Teflonová páska,
TSG,Těsnění grafitové,
TSM,Těsnění manometrové,
TSN,Těsnění,
TSP,Těsnění,
TST,Těsnění,
TSV,Těsnění,
VE3,Ventily plastové,
VEH,Ventil havarijní,
VEO,Ventil odvzušňovací,
VEP,Ventily různé,
VER,Ventily různé,
VET,Ventily termostatické,
VEU,Ventily uzavírací,
VEV,Ventily vyvyžovací,
VEX,Ventily vypouštěcí,
VEY,Ventily různé,
VEZ,Ventily zpětný,
VOB,Vodoměry,
VY1,Výměníky,
VYV,Výměníky,
WAL,Walter,
XPA,expanzomaty,
XPC,expanzomaty CIMM,
XPG,expanzomaty Global,
XPR,expanzomaty,
ZT1,Zátka HTM,
ZT3,Zátky,
ZTC,Víčko Cu,
ZTM,"Zátka mosaz 3/8""",
ZTP,Zátky pozink,
ZTV,Zátky varné,
