legacy_external_id,key,value
894,eshop_registered,0
974,eshop_registered,0
741,eshop_registered,0
881,eshop_registered,0
800,eshop_registered,0
897,eshop_registered,0
852,eshop_registered,0
813,eshop_registered,0
762,eshop_registered,0
987,eshop_registered,0
753,eshop_registered,0
883,eshop_registered,0
816,eshop_registered,0
903,eshop_registered,0
855,eshop_registered,0
815,eshop_registered,0
776,eshop_registered,0
988,eshop_registered,0
754,eshop_registered,0
890,eshop_registered,0
818,eshop_registered,0
908,eshop_registered,0
861,eshop_registered,0
647,eshop_registered,0
785,eshop_registered,0
1032,eshop_registered,0
770,eshop_registered,0
909,eshop_registered,0
819,eshop_registered,0
912,eshop_registered,0
873,eshop_registered,0
656,eshop_registered,0
787,eshop_registered,0
1046,eshop_registered,0
781,eshop_registered,0
911,eshop_registered,0
824,eshop_registered,0
926,eshop_registered,0
884,eshop_registered,0
843,eshop_registered,0
923,eshop_registered,0
1047,eshop_registered,0
7,eshop_registered,0
938,eshop_registered,0
826,eshop_registered,0
934,eshop_registered,0
810,eshop_registered,0
862,eshop_registered,0
937,eshop_registered,0
1062,eshop_registered,0
793,eshop_registered,0
940,eshop_registered,0
847,eshop_registered,0
939,eshop_registered,0
905,eshop_registered,0
864,eshop_registered,0
950,eshop_registered,0
1075,eshop_registered,0
794,eshop_registered,0
945,eshop_registered,0
851,eshop_registered,0
946,eshop_registered,0
917,eshop_registered,0
877,eshop_registered,0
952,eshop_registered,0
1104,eshop_registered,0
807,eshop_registered,0
998,eshop_registered,0
867,eshop_registered,0
957,eshop_registered,0
932,eshop_registered,0
893,eshop_registered,0
981,eshop_registered,0
1107,eshop_registered,0
820,eshop_registered,0
1005,eshop_registered,0
874,eshop_registered,0
991,eshop_registered,0
948,eshop_registered,0
895,eshop_registered,0
983,eshop_registered,0
1121,eshop_registered,0
837,eshop_registered,0
1027,eshop_registered,0
876,eshop_registered,0
1011,eshop_registered,0
962,eshop_registered,0
922,eshop_registered,0
995,eshop_registered,0
1135,eshop_registered,0
850,eshop_registered,0
1029,eshop_registered,0
898,eshop_registered,0
1021,eshop_registered,0
1081,eshop_registered,0
924,eshop_registered,0
1055,eshop_registered,0
1146,eshop_registered,0
857,eshop_registered,0
1036,eshop_registered,0
902,eshop_registered,0
1028,eshop_registered,0
1088,eshop_registered,0
951,eshop_registered,0
1067,eshop_registered,0
1148,eshop_registered,0
869,eshop_registered,0
1037,eshop_registered,0
933,eshop_registered,0
1035,eshop_registered,0
1094,eshop_registered,0
968,eshop_registered,0
1069,eshop_registered,0
1162,eshop_registered,0
870,eshop_registered,0
1058,eshop_registered,0
956,eshop_registered,0
1057,eshop_registered,0
1103,eshop_registered,0
980,eshop_registered,0
1086,eshop_registered,0
1178,eshop_registered,0
888,eshop_registered,0
1065,eshop_registered,0
965,eshop_registered,0
1072,eshop_registered,0
1109,eshop_registered,0
982,eshop_registered,0
1098,eshop_registered,0
1195,eshop_registered,0
941,eshop_registered,0
1087,eshop_registered,0
986,eshop_registered,0
1079,eshop_registered,0
1116,eshop_registered,0
994,eshop_registered,0
1100,eshop_registered,0
1283,eshop_registered,0
944,eshop_registered,0
1089,eshop_registered,0
992,eshop_registered,0
1090,eshop_registered,0
984,eshop_registered,0
996,eshop_registered,0
1101,eshop_registered,0
1286,eshop_registered,0
958,eshop_registered,0
1097,eshop_registered,0
993,eshop_registered,0
1111,eshop_registered,0
999,eshop_registered,0
1023,eshop_registered,0
1038,eshop_registered,0
1299,eshop_registered,0
913,eshop_registered,0
1117,eshop_registered,0
1012,eshop_registered,0
1118,eshop_registered,0
1013,eshop_registered,0
1025,eshop_registered,0
1154,eshop_registered,0
1300,eshop_registered,0
975,eshop_registered,0
1119,eshop_registered,0
1014,eshop_registered,0
1181,eshop_registered,0
1019,eshop_registered,0
1039,eshop_registered,0
1156,eshop_registered,0
1316,eshop_registered,0
989,eshop_registered,0
971,eshop_registered,0
1020,eshop_registered,0
1188,eshop_registered,0
1131,eshop_registered,0
1040,eshop_registered,0
1170,eshop_registered,0
1317,eshop_registered,0
1000,eshop_registered,0
1127,eshop_registered,0
1041,eshop_registered,0
1242,eshop_registered,0
1136,eshop_registered,0
1052,eshop_registered,0
1172,eshop_registered,0
1334,eshop_registered,0
1016,eshop_registered,0
1149,eshop_registered,0
1082,eshop_registered,0
1248,eshop_registered,0
1139,eshop_registered,0
1054,eshop_registered,0
1219,eshop_registered,0
1347,eshop_registered,0
1061,eshop_registered,0
1180,eshop_registered,0
1108,eshop_registered,0
1272,eshop_registered,0
1150,eshop_registered,0
1099,eshop_registered,0
1228,eshop_registered,0
1224,eshop_registered,0
1074,eshop_registered,0
1182,eshop_registered,0
1110,eshop_registered,0
1279,eshop_registered,0
1161,eshop_registered,0
1113,eshop_registered,0
1245,eshop_registered,0
1238,eshop_registered,0
1077,eshop_registered,0
1205,eshop_registered,0
1132,eshop_registered,0
1289,eshop_registered,0
1190,eshop_registered,0
1115,eshop_registered,0
1259,eshop_registered,0
1365,eshop_registered,0
1033,eshop_registered,0
1173,eshop_registered,0
1138,eshop_registered,0
1296,eshop_registered,0
1197,eshop_registered,0
1128,eshop_registered,0
1261,eshop_registered,0
1366,eshop_registered,0
1091,eshop_registered,0
1216,eshop_registered,0
1166,eshop_registered,0
1313,eshop_registered,0
1215,eshop_registered,0
1068,eshop_registered,0
1276,eshop_registered,0
1380,eshop_registered,0
1123,eshop_registered,0
1264,eshop_registered,0
1168,eshop_registered,0
1320,eshop_registered,0
1220,eshop_registered,0
1083,eshop_registered,0
1278,eshop_registered,0
1392,eshop_registered,0
1147,eshop_registered,0
1266,eshop_registered,0
1191,eshop_registered,0
1327,eshop_registered,0
1227,eshop_registered,0
1155,eshop_registered,0
1292,eshop_registered,0
1252,eshop_registered,0
1164,eshop_registered,0
1271,eshop_registered,0
1196,eshop_registered,0
1338,eshop_registered,0
1233,eshop_registered,0
1157,eshop_registered,0
1306,eshop_registered,0
1268,eshop_registered,0
1165,eshop_registered,0
1273,eshop_registered,0
1198,eshop_registered,0
1344,eshop_registered,0
1240,eshop_registered,0
1171,eshop_registered,0
